env,agent,obs,mean,std,cv,success_rates
MiniGrid-Empty-5x5-v0,ppo,egocentric,1.0,0.0,0.0,"[1.0, 1.0, 1.0]"
MiniGrid-Empty-5x5-v0,ppo,allocentric,1.0,0.0,0.0,"[1.0, 1.0, 1.0]"
MiniGrid-Empty-5x5-v0,dqn,egocentric,1.0,0.0,0.0,"[1.0, 1.0, 1.0]"
MiniGrid-Empty-5x5-v0,dqn,allocentric,1.0,0.0,0.0,"[1.0, 1.0, 1.0]"
MiniGrid-Empty-8x8-v0,ppo,egocentric,0.6666666666666666,0.5773502691896258,86.60254037844388,"[1.0, 0.0, 1.0]"
MiniGrid-Empty-8x8-v0,ppo,allocentric,0.6666666666666666,0.5773502691896258,86.60254037844388,"[1.0, 1.0, 0.0]"
MiniGrid-Empty-8x8-v0,dqn,egocentric,1.0,0.0,0.0,"[1.0, 1.0, 1.0]"
MiniGrid-Empty-8x8-v0,dqn,allocentric,1.0,0.0,0.0,"[1.0, 1.0, 1.0]"
MiniGrid-DoorKey-5x5-v0,ppo,egocentric,0.7799999999999999,0.381051177665153,48.85271508527603,"[1.0, 1.0, 0.34]"
MiniGrid-DoorKey-5x5-v0,ppo,allocentric,0.8566666666666668,0.17616280348965083,20.563751380114876,"[0.66, 0.91, 1.0]"
MiniGrid-DoorKey-5x5-v0,dqn,egocentric,1.0,0.0,0.0,"[1.0, 1.0, 1.0]"
MiniGrid-DoorKey-5x5-v0,dqn,allocentric,1.0,0.0,0.0,"[1.0, 1.0, 1.0]"
MiniGrid-GoToObject-6x6-N2-v0,ppo,egocentric,0.6933333333333334,0.04725815626252606,6.8160802301720285,"[0.71, 0.73, 0.64]"
MiniGrid-GoToObject-6x6-N2-v0,ppo,allocentric,0.5566666666666666,0.08962886439832503,16.100993604489528,"[0.66, 0.51, 0.5]"
